metaheuristic,mean_improvement,std_dev,percent_instances_improved,confidence_95%_lower,confidence_95%_upper,p_value
grasp,1.12,1.61,61.11,0.32,1.92,0.0087
ils,0.88,1.45,61.11,0.16,1.6,0.0192
